transcript_name,SpeakerName,Content,ResearcherName,Email,Institution,Final_Code,Consistency,vote_1,vote_2,vote_3,vote_4,vote_5,Original_coding,human_code
1005-03-Ag Unitized Report.xlsx,1,Okay.  ,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,And then the last thing is the website.,,,,P1,Perfectly Consistent,P1,P1,P1,P1,P1,Test_Code,P1
1005-03-Ag Unitized Report.xlsx,2,Sure.,,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,"And then what’s, then we should also talk about this, do you have this thing, the.",,,,QM,Perfectly Consistent,QM,QM,QM,QM,QM,Test_Code,QM
1005-03-Ag Unitized Report.xlsx,2,With the delivery?,,,,QM,Perfectly Consistent,QM,QM,QM,QM,QM,Test_Code,QP
1005-03-Ag Unitized Report.xlsx,1,Cold delivery?,,,,QM,Perfectly Consistent,QM,QM,QM,QM,QM,Test_Code,QP
1005-03-Ag Unitized Report.xlsx,2,Yeah.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,I don’t have a lot of details.,,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,SF
1005-03-Ag Unitized Report.xlsx,2,"I am, I have confusing details about this.  ",,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,2,"Essentially, like what, essentially what I have is that we are currently both getting delivery from two different sources.",,,,SF,Perfectly Consistent,SF,SF,SF,SF,SF,Test_Code,SF
1005-03-Ag Unitized Report.xlsx,1,Mm-hmm.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,"If we were to combine delivery, I need the cold delivery anyway for the ice cream.",,,,SB,Perfectly Consistent,SB,SB,SB,SB,SB,Test_Code,SB
1005-03-Ag Unitized Report.xlsx,1,Yeah.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,So essentially I would add your order to mine and then you would pay me directly.,,,,OFF,Perfectly Consistent,OFF,OFF,OFF,OFF,OFF,Test_Code,SB
1005-03-Ag Unitized Report.xlsx,1,Yes.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,"Yeah, after whatever I pay.",,,,SF,Perfectly Consistent,SF,SF,SF,SF,SF,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,"And that sounds like a good idea as long as it is under $10,000.  ",,,,IB,Perfectly Consistent,IB,IB,IB,IB,IB,Test_Code,IP
1005-03-Ag Unitized Report.xlsx,1,"But I’m not sure, you know, how much.",,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,2,"And mine is it’s a good idea that, as long as it’s above $5,000.  ",,,,IB,Perfectly Consistent,IB,IB,IB,IB,IB,Test_Code,IP
1005-03-Ag Unitized Report.xlsx,2,"So, like, so we have, like, a margin between five and ten thousand dollars.",,,,SF,Perfectly Consistent,SF,SF,SF,SF,SF,Test_Code,IP
1005-03-Ag Unitized Report.xlsx,1,Okay.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,That we would both profit from.,,,,MU,Perfectly Consistent,MU,MU,MU,MU,MU,Test_Code,MU
1005-03-Ag Unitized Report.xlsx,1,"Well, here’s my deal.",,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,2,Okay.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,"I would be willing to do that up to a price of, split the difference, 750.",,,,OFF,Perfectly Consistent,OFF,OFF,OFF,OFF,OFF,Test_Code,IP
1005-03-Ag Unitized Report.xlsx,2,Seventy-five hundred?,,,,QO,Perfectly Consistent,QO,QO,QO,QO,QO,Test_Code,QO
1005-03-Ag Unitized Report.xlsx,1,Yeah.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,Okay.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,And then if we can do separate websites. ,,,,OFF,Perfectly Consistent,OFF,OFF,OFF,OFF,OFF,Test_Code,P1
1005-03-Ag Unitized Report.xlsx,1," I don’t want to do your, your little brother’s website.",,,,IP,Perfectly Consistent,IP,IP,IP,IP,IP,Test_Code,IP
1005-03-Ag Unitized Report.xlsx,2,I don’t understand why not. ,,,,QS,Perfectly Consistent,QS,QS,QS,QS,QS,Test_Code,DIS
1005-03-Ag Unitized Report.xlsx,2,Okay.  ,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,"Yes, I would be, I would be willing to do that.  ",,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,Okay.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,"Okay, let’s just go through one more time just to get.  ",,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,1,So we’re doing Staff 6.,,,,SF,Perfectly Consistent,SF,SF,SF,SF,SF,Test_Code,QO
1005-03-Ag Unitized Report.xlsx,2,Yes.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,I’m just going to copy this.  ,,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,1,Temperature 1.,,,,SF,Perfectly Consistent,SF,SF,SF,SF,SF,Test_Code,OFF
1005-03-Ag Unitized Report.xlsx,2,Mm-hmm.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,Maintenance 1.,,,,SF,Perfectly Consistent,SF,SF,SF,SF,SF,Test_Code,OFF
1005-03-Ag Unitized Report.xlsx,2,Maintenance 1.  ,,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,Design 6.,,,,SF,Perfectly Consistent,SF,SF,SF,SF,SF,Test_Code,OFF
1005-03-Ag Unitized Report.xlsx,1,Yeah.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,And then Website 2.,,,,SF,Perfectly Consistent,SF,SF,SF,SF,SF,Test_Code,OFF
1005-03-Ag Unitized Report.xlsx,1,Website 2.  ,,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,"And then delivery 750, so cool.",,,,SF,Perfectly Consistent,SF,SF,SF,SF,SF,Test_Code,OFF
1005-03-Ag Unitized Report.xlsx,2,Good deal.,,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,I’m happy.,,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,2,"I’m happy, too.  ",,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,2,I’m incredibly happy.,,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,1,"Me, too.",,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,2,"Well done, team.",,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,1,Wow.  ,,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,1,All right.,,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,So.,,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,Are we done?,,,,QM,Perfectly Consistent,QM,QM,QM,QM,QM,Test_Code,QP
1005-03-Ag Unitized Report.xlsx,2,So now what?  ,,,,QM,Perfectly Consistent,QM,QM,QM,QM,QM,Test_Code,QP
1005-03-Ag Unitized Report.xlsx,2,Yeah.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,I think we’re done.,,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,"I mean, we, yeah.  ",,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,"That took all of, like, seven and a half minutes.",,,,PT,Perfectly Consistent,PT,PT,PT,PT,PT,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,1,"Yep.  Okay, stop.",,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-04-Ag Unitized Report.xlsx,1,"Okay, cool.",,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,MISC
1005-04-Ag Unitized Report.xlsx,2,"All right, so.",,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-04-Ag Unitized Report.xlsx,1,"Yeah, just snuck these up.",,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-04-Ag Unitized Report.xlsx,2,Yeah.  ,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,MISC
1005-04-Ag Unitized Report.xlsx,2,So are there any of these issues that you feel are more important to you?,,,,QR,Perfectly Consistent,QR,QR,QR,QR,QR,Test_Code,QR
1005-04-Ag Unitized Report.xlsx,1,"I guess staff, I guess.",,,,IR,Perfectly Consistent,IR,IR,IR,IR,IR,Test_Code,IR
1005-04-Ag Unitized Report.xlsx,2,Staff?,,,,QR,Perfectly Consistent,QR,QR,QR,QR,QR,Test_Code,QM
1005-04-Ag Unitized Report.xlsx,1,"Yeah, we can just start. ",,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,P1
1005-04-Ag Unitized Report.xlsx,1," I mean, what did you think about staff?",,,,QP,Perfectly Consistent,QP,QP,QP,QP,QP,Test_Code,QP
1005-04-Ag Unitized Report.xlsx,2,"Well, I kind of want to know which ones are more important to you and which ones are, like, more negotiable.",,,,QR,Perfectly Consistent,QR,QR,QR,QR,QR,Test_Code,QR
1005-04-Ag Unitized Report.xlsx,1,"Yeah, sure.  ",,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-04-Ag Unitized Report.xlsx,2,"Just like what ones you, you’re real.",,,,QR,Perfectly Consistent,QR,QR,QR,QR,QR,Test_Code,MISC
1005-04-Ag Unitized Report.xlsx,1,"The main things, I guess, would be staff and temperature.",,,,IR,Perfectly Consistent,IR,IR,IR,IR,IR,Test_Code,IR
1005-04-Ag Unitized Report.xlsx,2,Staff and temperature?,,,,QR,Perfectly Consistent,QR,QR,QR,QR,QR,Test_Code,QM
1005-04-Ag Unitized Report.xlsx,1,Yeah.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-04-Ag Unitized Report.xlsx,2,And are there any of them that you really don’t care about?,,,,QR,Perfectly Consistent,QR,QR,QR,QR,QR,Test_Code,QR
1005-04-Ag Unitized Report.xlsx,1,"Mm, I guess probably the bottom one would be maintenance for me.",,,,IR,Perfectly Consistent,IR,IR,IR,IR,IR,Test_Code,IR
1005-04-Ag Unitized Report.xlsx,2,"Okay, so maintenance is kind of important to me.",,,,IR,Perfectly Consistent,IR,IR,IR,IR,IR,Test_Code,IR
1005-04-Ag Unitized Report.xlsx,1,"Okay, cool.",,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-04-Ag Unitized Report.xlsx,2,And would you mind if we went No. 1 with maintenance?,,,,OFF,Perfectly Consistent,OFF,OFF,OFF,OFF,OFF,Test_Code,OFF
1005-04-Ag Unitized Report.xlsx,1,"I guess it just depends what the other ones are, so.",,,,IP,Perfectly Consistent,IP,IP,IP,IP,IP,Test_Code,IP
1005-04-Ag Unitized Report.xlsx,2,Okay.  ,,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
